test_type,depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,result,expected,correct,trial_tree,trial_run,leaf_values
logn_loglogn,2,4,3,GF(32),xor,0.020037412643432617,27,1,1,True,7,0,"[6, 6, 6, 7]"
baseline_plain,2,4,3,GF(32),xor,3.337860107421875e-06,,0,0,True,8,0,"[3, 4, 5, 2]"
logn_loglogn,2,4,3,GF(32),xor,0.01955723762512207,27,0,0,True,8,0,"[3, 4, 5, 2]"
baseline_plain,2,4,3,GF(32),xor,3.0994415283203125e-06,,6,6,True,9,0,"[1, 3, 4, 0]"
logn_loglogn,2,4,3,GF(32),xor,0.020380258560180664,27,6,6,True,9,0,"[1, 3, 4, 0]"
baseline_plain,3,8,3,GF(32),xor,4.5299530029296875e-06,,7,7,True,0,0,"[5, 5, 6, 0, 3, 1, 5, 6]"
logn_loglogn,3,8,3,GF(32),xor,2.426313877105713,27,7,7,True,0,0,"[5, 5, 6, 0, 3, 1, 5, 6]"
baseline_plain,3,8,3,GF(32),xor,4.5299530029296875e-06,,4,4,True,1,0,"[2, 1, 6, 4, 0, 3, 2, 4]"
logn_loglogn,3,8,3,GF(32),xor,2.4410479068756104,27,4,4,True,1,0,"[2, 1, 6, 4, 0, 3, 2, 4]"
baseline_plain,3,8,3,GF(32),xor,3.814697265625e-06,,3,3,True,2,0,"[6, 4, 1, 5, 7, 6, 2, 6]"
logn_loglogn,3,8,3,GF(32),xor,2.4368817806243896,27,3,3,True,2,0,"[6, 4, 1, 5, 7, 6, 2, 6]"
baseline_plain,3,8,3,GF(32),xor,4.0531158447265625e-06,,7,7,True,3,0,"[5, 1, 2, 6, 4, 4, 1, 6]"
logn_loglogn,3,8,3,GF(32),xor,2.4432106018066406,27,7,7,True,3,0,"[5, 1, 2, 6, 4, 4, 1, 6]"
baseline_plain,3,8,3,GF(32),xor,3.814697265625e-06,,5,5,True,4,0,"[3, 1, 4, 4, 7, 4, 5, 1]"
logn_loglogn,3,8,3,GF(32),xor,2.4347105026245117,27,5,5,True,4,0,"[3, 1, 4, 4, 7, 4, 5, 1]"
baseline_plain,3,8,3,GF(32),xor,3.814697265625e-06,,7,7,True,5,0,"[3, 6, 4, 0, 7, 1, 3, 3]"
logn_loglogn,3,8,3,GF(32),xor,2.4461114406585693,27,7,7,True,5,0,"[3, 6, 4, 0, 7, 1, 3, 3]"
baseline_plain,3,8,3,GF(32),xor,3.5762786865234375e-06,,3,3,True,6,0,"[6, 7, 2, 3, 7, 6, 5, 7]"
logn_loglogn,3,8,3,GF(32),xor,2.434934377670288,27,3,3,True,6,0,"[6, 7, 2, 3, 7, 6, 5, 7]"
baseline_plain,3,8,3,GF(32),xor,3.5762786865234375e-06,,2,2,True,7,0,"[3, 4, 5, 3, 0, 6, 5, 0]"
logn_loglogn,3,8,3,GF(32),xor,2.4515221118927,27,2,2,True,7,0,"[3, 4, 5, 3, 0, 6, 5, 0]"
baseline_plain,3,8,3,GF(32),xor,3.5762786865234375e-06,,3,3,True,8,0,"[6, 4, 4, 4, 4, 6, 3, 0]"
logn_loglogn,3,8,3,GF(32),xor,2.447108268737793,27,3,3,True,8,0,"[6, 4, 4, 4, 4, 6, 3, 0]"
baseline_plain,3,8,3,GF(32),xor,3.5762786865234375e-06,,4,4,True,9,0,"[5, 3, 3, 3, 0, 5, 5, 2]"
logn_loglogn,3,8,3,GF(32),xor,2.4455647468566895,27,4,4,True,9,0,"[5, 3, 3, 3, 0, 5, 5, 2]"
baseline_plain,4,16,3,GF(32),xor,6.4373016357421875e-06,,7,7,True,0,0,"[1, 0, 1, 0, 6, 4, 7, 5, 0, 3, 4, 3, 6, 1, 6, 2]"
logn_loglogn,4,16,3,GF(32),xor,300.4408915042877,27,7,7,True,0,0,"[1, 0, 1, 0, 6, 4, 7, 5, 0, 3, 4, 3, 6, 1, 6, 2]"
baseline_plain,4,16,3,GF(32),xor,7.3909759521484375e-06,,6,6,True,1,0,"[3, 0, 0, 7, 4, 7, 2, 2, 3, 1, 2, 7, 5, 2, 4, 5]"
logn_loglogn,4,16,3,GF(32),xor,301.4175605773926,27,6,6,True,1,0,"[3, 0, 0, 7, 4, 7, 2, 2, 3, 1, 2, 7, 5, 2, 4, 5]"
baseline_plain,4,16,3,GF(32),xor,7.867813110351562e-06,,3,3,True,2,0,"[4, 2, 3, 3, 4, 6, 5, 1, 3, 2, 3, 7, 3, 3, 3, 5]"
logn_loglogn,4,16,3,GF(32),xor,297.13477063179016,27,3,3,True,2,0,"[4, 2, 3, 3, 4, 6, 5, 1, 3, 2, 3, 7, 3, 3, 3, 5]"
baseline_plain,4,16,3,GF(32),xor,7.3909759521484375e-06,,2,2,True,3,0,"[6, 2, 1, 6, 5, 7, 5, 1, 4, 3, 7, 3, 7, 1, 3, 1]"
logn_loglogn,4,16,3,GF(32),xor,295.7586569786072,27,2,2,True,3,0,"[6, 2, 1, 6, 5, 7, 5, 1, 4, 3, 7, 3, 7, 1, 3, 1]"
baseline_plain,4,16,3,GF(32),xor,6.198883056640625e-06,,3,3,True,4,0,"[6, 1, 4, 2, 6, 4, 3, 7, 7, 2, 5, 7, 7, 4, 6, 6]"
logn_loglogn,4,16,3,GF(32),xor,294.98302149772644,27,3,3,True,4,0,"[6, 1, 4, 2, 6, 4, 3, 7, 7, 2, 5, 7, 7, 4, 6, 6]"
baseline_plain,4,16,3,GF(32),xor,4.76837158203125e-06,,0,0,True,5,0,"[6, 7, 2, 0, 3, 2, 0, 2, 1, 0, 4, 2, 0, 3, 0, 4]"
logn_loglogn,4,16,3,GF(32),xor,295.7192656993866,27,0,0,True,5,0,"[6, 7, 2, 0, 3, 2, 0, 2, 1, 0, 4, 2, 0, 3, 0, 4]"
baseline_plain,4,16,3,GF(32),xor,5.245208740234375e-06,,6,6,True,6,0,"[4, 5, 3, 2, 0, 4, 1, 0, 5, 5, 4, 5, 5, 4, 1, 2]"
logn_loglogn,4,16,3,GF(32),xor,294.5971956253052,27,6,6,True,6,0,"[4, 5, 3, 2, 0, 4, 1, 0, 5, 5, 4, 5, 5, 4, 1, 2]"
baseline_plain,4,16,3,GF(32),xor,6.4373016357421875e-06,,2,2,True,7,0,"[6, 6, 7, 7, 3, 5, 3, 0, 1, 1, 5, 5, 3, 4, 4, 4]"
logn_loglogn,4,16,3,GF(32),xor,295.24381709098816,27,2,2,True,7,0,"[6, 6, 7, 7, 3, 5, 3, 0, 1, 1, 5, 5, 3, 4, 4, 4]"
baseline_plain,4,16,3,GF(32),xor,5.245208740234375e-06,,4,4,True,8,0,"[4, 1, 7, 0, 6, 7, 0, 6, 4, 7, 7, 0, 1, 2, 5, 3]"
logn_loglogn,4,16,3,GF(32),xor,293.3960244655609,27,4,4,True,8,0,"[4, 1, 7, 0, 6, 7, 0, 6, 4, 7, 7, 0, 1, 2, 5, 3]"
baseline_plain,4,16,3,GF(32),xor,5.9604644775390625e-06,,1,1,True,9,0,"[0, 5, 1, 3, 0, 6, 4, 7, 7, 4, 3, 5, 0, 5, 2, 1]"
logn_loglogn,4,16,3,GF(32),xor,296.29261350631714,27,1,1,True,9,0,"[0, 5, 1, 3, 0, 6, 4, 7, 7, 4, 3, 5, 0, 5, 2, 1]"
baseline_plain,2,4,3,GF(32),and,2.6226043701171875e-06,,0,0,True,0,0,"[5, 3, 6, 5]"
logn_loglogn,2,4,3,GF(32),and,0.01874685287475586,27,0,0,True,0,0,"[5, 3, 6, 5]"
baseline_plain,2,4,3,GF(32),and,3.337860107421875e-06,,0,0,True,1,0,"[5, 3, 1, 6]"
logn_loglogn,2,4,3,GF(32),and,0.02018141746520996,27,0,0,True,1,0,"[5, 3, 1, 6]"
baseline_plain,2,4,3,GF(32),and,3.337860107421875e-06,,1,1,True,2,0,"[5, 3, 7, 3]"
logn_loglogn,2,4,3,GF(32),and,0.019855022430419922,27,1,1,True,2,0,"[5, 3, 7, 3]"
baseline_plain,2,4,3,GF(32),and,2.6226043701171875e-06,,4,4,True,3,0,"[4, 5, 4, 7]"
logn_loglogn,2,4,3,GF(32),and,0.019525527954101562,27,4,4,True,3,0,"[4, 5, 4, 7]"
