test_type,depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,total_bits_processed,result,expected,correct,trial_tree,trial_run,leaf_values
baseline_plain,4,16,2,GF(32),and,1.2636184692382812e-05,6,34,0,0,True,0,0,"[1, 3, 1, 2, 3, 1, 0, 2, 2, 0, 0, 1, 0, 1, 2, 3]"
logn_loglogn,4,16,2,GF(32),and,210.6323320865631,6,19174747,0,0,True,0,0,"[1, 3, 1, 2, 3, 1, 0, 2, 2, 0, 0, 1, 0, 1, 2, 3]"
baseline_plain,4,16,2,GF(32),and,1.2636184692382812e-05,5,51,0,0,True,1,0,"[2, 2, 2, 1, 1, 0, 0, 2, 0, 1, 2, 2, 2, 1, 1, 2]"
logn_loglogn,4,16,2,GF(32),and,209.08308148384094,6,19174747,0,0,True,1,0,"[2, 2, 2, 1, 1, 0, 0, 2, 0, 1, 2, 2, 2, 1, 1, 2]"
baseline_plain,4,16,2,GF(32),and,1.5020370483398438e-05,6,33,0,0,True,2,0,"[1, 1, 0, 0, 0, 1, 2, 0, 2, 1, 1, 3, 3, 2, 2, 1]"
logn_loglogn,4,16,2,GF(32),and,203.99979329109192,6,19174747,0,0,True,2,0,"[1, 1, 0, 0, 0, 1, 2, 0, 2, 1, 1, 3, 3, 2, 2, 1]"
baseline_plain,4,16,2,GF(32),and,4.863739013671875e-05,6,38,0,0,True,3,0,"[1, 1, 2, 3, 1, 2, 2, 3, 2, 1, 2, 1, 1, 0, 2, 1]"
logn_loglogn,4,16,2,GF(32),and,200.7751908302307,6,19174747,0,0,True,3,0,"[1, 1, 2, 3, 1, 2, 2, 3, 2, 1, 2, 1, 1, 0, 2, 1]"
baseline_plain,4,16,2,GF(32),and,1.239776611328125e-05,7,49,0,0,True,4,0,"[3, 3, 1, 0, 1, 0, 2, 3, 0, 3, 1, 2, 3, 0, 0, 2]"
logn_loglogn,4,16,2,GF(32),and,200.9208824634552,6,19174747,0,0,True,4,0,"[3, 3, 1, 0, 1, 0, 2, 3, 0, 3, 1, 2, 3, 0, 0, 2]"
baseline_plain,4,16,2,GF(32),and,1.33514404296875e-05,7,55,0,0,True,5,0,"[3, 3, 2, 2, 3, 0, 3, 2, 0, 1, 2, 1, 1, 3, 2, 2]"
logn_loglogn,4,16,2,GF(32),and,197.2838659286499,6,19174747,0,0,True,5,0,"[3, 3, 2, 2, 3, 0, 3, 2, 0, 1, 2, 1, 1, 3, 2, 2]"
baseline_plain,4,16,2,GF(32),and,2.2411346435546875e-05,7,53,0,0,True,6,0,"[3, 3, 0, 3, 3, 2, 1, 3, 1, 2, 3, 1, 0, 1, 1, 2]"
logn_loglogn,4,16,2,GF(32),and,194.84624910354614,6,19174747,0,0,True,6,0,"[3, 3, 0, 3, 3, 2, 1, 3, 1, 2, 3, 1, 0, 1, 1, 2]"
baseline_plain,4,16,2,GF(32),and,1.3828277587890625e-05,5,16,0,0,True,7,0,"[1, 2, 1, 1, 1, 0, 2, 3, 0, 1, 3, 0, 1, 2, 0, 0]"
logn_loglogn,4,16,2,GF(32),and,193.09473514556885,6,19174747,0,0,True,7,0,"[1, 2, 1, 1, 1, 0, 2, 3, 0, 1, 3, 0, 1, 2, 0, 0]"
baseline_plain,4,16,2,GF(32),and,1.2636184692382812e-05,3,17,0,0,True,8,0,"[3, 0, 1, 1, 3, 3, 1, 3, 1, 1, 1, 0, 0, 3, 1, 0]"
