test_type,depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,total_bits_processed,result,expected,correct,trial_tree,trial_run,leaf_values
logn_loglogn,3,8,3,GF(16),and,0.5739321708679199,9,54610,0,0,True,8,0,"[5, 5, 2, 1, 3, 5, 7, 7]"
baseline_plain,3,8,3,GF(16),and,1.4781951904296875e-05,16,40,0,0,True,9,0,"[5, 4, 5, 2, 5, 3, 0, 6]"
logn_loglogn,3,8,3,GF(16),and,0.580078125,9,54610,0,0,True,9,0,"[5, 4, 5, 2, 5, 3, 0, 6]"
baseline_plain,4,16,3,GF(16),and,1.430511474609375e-05,18,82,0,0,True,0,0,"[4, 5, 6, 3, 1, 1, 0, 6, 7, 5, 3, 5, 5, 4, 7, 1]"
logn_loglogn,4,16,3,GF(16),and,40.17946267127991,9,3276610,0,0,True,0,0,"[4, 5, 6, 3, 1, 1, 0, 6, 7, 5, 3, 5, 5, 4, 7, 1]"
baseline_plain,4,16,3,GF(16),and,1.3828277587890625e-05,18,64,0,0,True,1,0,"[2, 2, 0, 6, 0, 3, 5, 0, 3, 4, 3, 6, 4, 4, 4, 7]"
logn_loglogn,4,16,3,GF(16),and,35.95101976394653,9,3276610,0,0,True,1,0,"[2, 2, 0, 6, 0, 3, 5, 0, 3, 4, 3, 6, 4, 4, 4, 7]"
baseline_plain,4,16,3,GF(16),and,1.4066696166992188e-05,19,65,0,0,True,2,0,"[2, 3, 6, 3, 2, 1, 4, 2, 6, 5, 2, 2, 3, 0, 7, 5]"
logn_loglogn,4,16,3,GF(16),and,35.988361835479736,9,3276610,0,0,True,2,0,"[2, 3, 6, 3, 2, 1, 4, 2, 6, 5, 2, 2, 3, 0, 7, 5]"
baseline_plain,4,16,3,GF(16),and,1.4781951904296875e-05,14,30,0,0,True,3,0,"[2, 4, 2, 7, 7, 2, 3, 4, 1, 0, 0, 0, 6, 2, 7, 1]"
logn_loglogn,4,16,3,GF(16),and,35.684348583221436,9,3276610,0,0,True,3,0,"[2, 4, 2, 7, 7, 2, 3, 4, 1, 0, 0, 0, 6, 2, 7, 1]"
baseline_plain,4,16,3,GF(16),and,1.3828277587890625e-05,18,77,0,0,True,4,0,"[6, 4, 7, 5, 7, 0, 5, 1, 1, 1, 2, 6, 1, 1, 4, 1]"
logn_loglogn,4,16,3,GF(16),and,35.3410427570343,9,3276610,0,0,True,4,0,"[6, 4, 7, 5, 7, 0, 5, 1, 1, 1, 2, 6, 1, 1, 4, 1]"
baseline_plain,4,16,3,GF(16),and,1.3589859008789062e-05,15,71,0,0,True,5,0,"[7, 2, 2, 3, 3, 7, 5, 2, 7, 7, 2, 7, 6, 2, 6, 5]"
logn_loglogn,4,16,3,GF(16),and,38.566935777664185,9,3276610,0,0,True,5,0,"[7, 2, 2, 3, 3, 7, 5, 2, 7, 7, 2, 7, 6, 2, 6, 5]"
baseline_plain,4,16,3,GF(16),and,2.8848648071289062e-05,17,64,0,0,True,6,0,"[6, 2, 7, 2, 1, 4, 0, 5, 7, 5, 1, 4, 2, 0, 5, 2]"
logn_loglogn,4,16,3,GF(16),and,40.12290096282959,9,3276610,0,0,True,6,0,"[6, 2, 7, 2, 1, 4, 0, 5, 7, 5, 1, 4, 2, 0, 5, 2]"
baseline_plain,4,16,3,GF(16),and,1.4066696166992188e-05,16,67,0,0,True,7,0,"[7, 2, 5, 5, 4, 2, 1, 0, 2, 4, 4, 4, 2, 3, 2, 7]"
logn_loglogn,4,16,3,GF(16),and,35.98050355911255,9,3276610,0,0,True,7,0,"[7, 2, 5, 5, 4, 2, 1, 0, 2, 4, 4, 4, 2, 3, 2, 7]"
baseline_plain,4,16,3,GF(16),and,1.4781951904296875e-05,19,71,0,0,True,8,0,"[2, 2, 1, 7, 2, 7, 5, 4, 2, 6, 7, 7, 5, 3, 4, 5]"
logn_loglogn,4,16,3,GF(16),and,37.54324960708618,9,3276610,0,0,True,8,0,"[2, 2, 1, 7, 2, 7, 5, 4, 2, 6, 7, 7, 5, 3, 4, 5]"
baseline_plain,4,16,3,GF(16),and,1.4066696166992188e-05,17,86,0,0,True,9,0,"[6, 5, 1, 6, 3, 6, 1, 3, 5, 5, 4, 4, 4, 5, 2, 6]"
logn_loglogn,4,16,3,GF(16),and,36.77351522445679,9,3276610,0,0,True,9,0,"[6, 5, 1, 6, 3, 6, 1, 3, 5, 5, 4, 4, 4, 5, 2, 6]"
